Run,Gen,Rule,Fitness,all_potential_farms,combine,compare_distance,compare_dryness,compare_quality,compare_water_availability,compare_yeild,desire_migration,desire_social_presence,divide,get_max_one_of,get_min_one_of,homophily_age,homophily_agricultural_productivity,multiply,potential_family_farms,potential_farms_near_best_performers,potential_neighborhood_farms,subtract
0,0.0,( get-max-one-of (( potential-family-farms  ) ) (( multiply (( desire-migration  ) ) (( desire-social-presence  ) )  ) )  ) ,1407.3148190792276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-farms-near-best-performers  ) ) (( compare-distance  ) )  ) ,2672.569362991351,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( get-min-one-of (( all-potential-farms  ) ) (( subtract (( compare-water-availability  ) ) (( compare-quality  ) )  ) )  ) ,898.5249022703813,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.0,( get-min-one-of (( potential-family-farms  ) ) (( homophily-age  ) )  ) ,1168.9076096937692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( potential-family-farms  ) ) (( homophily-age  ) )  ) ,1135.5760652637935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( all-potential-farms  ) ) (( subtract (( compare-water-availability  ) ) (( compare-quality  ) )  ) )  ) ,1217.198833387544,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1.0,( get-min-one-of (( all-potential-farms  ) ) (( subtract (( compare-water-availability  ) ) (( compare-quality  ) )  ) )  ) ,1739.087979373097,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1.0,( get-min-one-of (( potential-farms-near-best-performers  ) ) (( compare-yeild  ) )  ) ,1355.5397448986878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2.0,( get-min-one-of (( potential-family-farms  ) ) (( homophily-age  ) )  ) ,1103.607267101844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,2.0,( get-min-one-of (( potential-family-farms  ) ) (( homophily-age  ) )  ) ,1045.587394721263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,2.0,( get-min-one-of (( potential-family-farms  ) ) (( homophily-age  ) )  ) ,1186.8150656273292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,2.0,( get-min-one-of (( potential-family-farms  ) ) (( homophily-age  ) )  ) ,1178.8791286641724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-neighborhood-farms  ) ) (( combine (( compare-distance  ) ) (( compare-quality  ) )  ) )  ) ,1488.0960990473716,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.0,( get-max-one-of (( potential-family-farms  ) ) (( divide (( multiply (( compare-distance  ) ) (( compare-dryness  ) )  ) ) (( compare-water-availability  ) )  ) )  ) ,1902.4991458605161,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,0.0,( get-max-one-of (( potential-family-farms  ) ) (( multiply (( compare-dryness  ) ) (( compare-distance  ) )  ) )  ) ,2665.75955404834,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-family-farms  ) ) (( divide (( compare-water-availability  ) ) (( multiply (( compare-water-availability  ) ) (( desire-social-presence  ) )  ) )  ) )  ) ,1338.4046473320386,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( potential-family-farms  ) ) (( divide (( compare-water-availability  ) ) (( multiply (( compare-water-availability  ) ) (( desire-social-presence  ) )  ) )  ) )  ) ,1190.6515023297127,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( potential-family-farms  ) ) (( divide (( compare-water-availability  ) ) (( multiply (( compare-water-availability  ) ) (( desire-social-presence  ) )  ) )  ) )  ) ,1523.9937663914504,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( potential-family-farms  ) ) (( desire-social-presence  ) )  ) ,778.8831748086493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( potential-family-farms  ) ) (( divide (( compare-water-availability  ) ) (( multiply (( compare-water-availability  ) ) (( divide (( compare-water-availability  ) ) (( multiply (( compare-water-availability  ) ) (( desire-social-presence  ) )  ) )  ) )  ) )  ) )  ) ,968.9478830153876,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
0,2.0,( get-max-one-of (( potential-family-farms  ) ) (( multiply (( compare-water-availability  ) ) (( homophily-age  ) )  ) )  ) ,1160.9358294066044,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0,2.0,( get-min-one-of (( all-potential-farms  ) ) (( desire-social-presence  ) )  ) ,1377.117642033534,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( get-min-one-of (( potential-family-farms  ) ) (( desire-social-presence  ) )  ) ,1655.3193045451987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,2.0,( get-min-one-of (( potential-farms-near-best-performers  ) ) (( desire-social-presence  ) )  ) ,1573.3801193608615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( get-min-one-of (( all-potential-farms  ) ) (( multiply (( homophily-age  ) ) (( compare-yeild  ) )  ) )  ) ,851.9548110081897,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-family-farms  ) ) (( combine (( multiply (( compare-quality  ) ) (( compare-quality  ) )  ) ) (( combine (( divide (( compare-water-availability  ) ) (( compare-water-availability  ) )  ) ) (( combine (( compare-distance  ) ) (( compare-water-availability  ) )  ) )  ) )  ) )  ) ,1014.5038196083846,0.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,0.0,( get-max-one-of (( potential-family-farms  ) ) (( multiply (( desire-migration  ) ) (( compare-yeild  ) )  ) )  ) ,1386.6989579573499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-neighborhood-farms  ) ) (( subtract (( desire-social-presence  ) ) (( desire-migration  ) )  ) )  ) ,976.211554940834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1.0,( get-min-one-of (( all-potential-farms  ) ) (( multiply (( homophily-age  ) ) (( compare-yeild  ) )  ) )  ) ,1522.4788996895816,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( all-potential-farms  ) ) (( multiply (( homophily-age  ) ) (( compare-yeild  ) )  ) )  ) ,1214.0877233544568,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( potential-family-farms  ) ) (( compare-water-availability  ) )  ) ,1844.4950528532192,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( all-potential-farms  ) ) (( multiply (( homophily-age  ) ) (( compare-yeild  ) )  ) )  ) ,1623.1851403952653,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,( get-max-one-of (( potential-farms-near-best-performers  ) ) (( compare-dryness  ) )  ) ,1493.5548198844265,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( get-max-one-of (( potential-neighborhood-farms  ) ) (( compare-water-availability  ) )  ) ,935.1197784241333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.0,( get-max-one-of (( potential-family-farms  ) ) (( homophily-age  ) )  ) ,1132.0697858347776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-neighborhood-farms  ) ) (( compare-distance  ) )  ) ,1202.415069765846,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1.0,( get-max-one-of (( potential-neighborhood-farms  ) ) (( compare-water-availability  ) )  ) ,1407.918321494539,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1.0,( get-max-one-of (( potential-neighborhood-farms  ) ) (( compare-water-availability  ) )  ) ,1115.1977403133478,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1.0,( get-max-one-of (( potential-neighborhood-farms  ) ) (( compare-water-availability  ) )  ) ,1087.2998666421327,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1.0,( get-max-one-of (( potential-neighborhood-farms  ) ) (( compare-water-availability  ) )  ) ,1722.5283742220329,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.0,( get-min-one-of (( potential-family-farms  ) ) (( homophily-age  ) )  ) ,936.2852129559657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,( get-max-one-of (( potential-farms-near-best-performers  ) ) (( divide (( desire-migration  ) ) (( compare-distance  ) )  ) )  ) ,2673.654614941879,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( get-max-one-of (( potential-farms-near-best-performers  ) ) (( subtract (( homophily-age  ) ) (( homophily-age  ) )  ) )  ) ,1122.2597738491754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
0,0.0,( get-max-one-of (( potential-neighborhood-farms  ) ) (( multiply (( subtract (( compare-distance  ) ) (( desire-social-presence  ) )  ) ) (( compare-water-availability  ) )  ) )  ) ,1291.493321701663,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,1.0,( get-min-one-of (( potential-family-farms  ) ) (( homophily-age  ) )  ) ,2672.14857371367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1.0,( get-max-one-of (( potential-farms-near-best-performers  ) ) (( subtract (( homophily-age  ) ) (( homophily-age  ) )  ) )  ) ,2607.074030402665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
0,1.0,( get-max-one-of (( potential-family-farms  ) ) (( subtract (( homophily-age  ) ) (( homophily-age  ) )  ) )  ) ,1340.254453452776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.0,( get-min-one-of (( potential-farms-near-best-performers  ) ) (( homophily-age  ) )  ) ,1462.0430910202356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( get-max-one-of (( potential-family-farms  ) ) (( multiply (( multiply (( desire-social-presence  ) ) (( compare-water-availability  ) )  ) ) (( combine (( compare-yeild  ) ) (( compare-water-availability  ) )  ) )  ) )  ) ,1763.686480075187,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-farms-near-best-performers  ) ) (( multiply (( compare-distance  ) ) (( compare-quality  ) )  ) )  ) ,1401.3357913077093,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0.0,( get-max-one-of (( all-potential-farms  ) ) (( desire-social-presence  ) )  ) ,1453.7303739001948,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( all-potential-farms  ) ) (( divide (( compare-water-availability  ) ) (( divide (( compare-dryness  ) ) (( desire-social-presence  ) )  ) )  ) )  ) ,1494.3567177886262,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( potential-farms-near-best-performers  ) ) (( multiply (( compare-distance  ) ) (( compare-quality  ) )  ) )  ) ,1385.8188914861862,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1.0,( get-min-one-of (( potential-farms-near-best-performers  ) ) (( multiply (( compare-distance  ) ) (( compare-quality  ) )  ) )  ) ,2672.4786247975862,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1.0,( get-min-one-of (( potential-farms-near-best-performers  ) ) (( multiply (( multiply (( compare-distance  ) ) (( compare-quality  ) )  ) ) (( compare-quality  ) )  ) )  ) ,2673.0086045503103,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
0,1.0,( get-min-one-of (( potential-farms-near-best-performers  ) ) (( compare-distance  ) )  ) ,1187.0000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-neighborhood-farms  ) ) (( combine (( compare-dryness  ) ) (( subtract (( compare-quality  ) ) (( desire-social-presence  ) )  ) )  ) )  ) ,6.4807406984078595,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0.0,( get-min-one-of (( potential-neighborhood-farms  ) ) (( combine (( combine (( homophily-agricultural-productivity  ) ) (( compare-water-availability  ) )  ) ) (( compare-yeild  ) )  ) )  ) ,4.795831523312719,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0.0,( get-max-one-of (( potential-family-farms  ) ) (( divide (( compare-water-availability  ) ) (( compare-distance  ) )  ) )  ) ,8.426149773176359,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-neighborhood-farms  ) ) (( compare-distance  ) )  ) ,11.61895003862225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1.0,( get-min-one-of (( potential-neighborhood-farms  ) ) (( combine (( combine (( homophily-agricultural-productivity  ) ) (( compare-water-availability  ) )  ) ) (( compare-yeild  ) )  ) )  ) ,4.123105625617661,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1.0,( get-min-one-of (( potential-neighborhood-farms  ) ) (( combine (( combine (( homophily-agricultural-productivity  ) ) (( compare-water-availability  ) )  ) ) (( compare-yeild  ) )  ) )  ) ,3.6055512754639887,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1.0,( get-min-one-of (( potential-neighborhood-farms  ) ) (( combine (( compare-dryness  ) ) (( subtract (( compare-quality  ) ) (( compare-yeild  ) )  ) )  ) )  ) ,6.782329983125267,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1.0,( get-min-one-of (( potential-neighborhood-farms  ) ) (( combine (( combine (( homophily-agricultural-productivity  ) ) (( compare-water-availability  ) )  ) ) (( desire-social-presence  ) )  ) )  ) ,10.198039027185569,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0.0,( get-min-one-of (( potential-family-farms  ) ) (( combine (( desire-social-presence  ) ) (( homophily-agricultural-productivity  ) )  ) )  ) ,4.123105625617661,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0.0,( get-max-one-of (( potential-neighborhood-farms  ) ) (( divide (( desire-migration  ) ) (( desire-migration  ) )  ) )  ) ,5.196152422706631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.0,( get-max-one-of (( potential-family-farms  ) ) (( multiply (( combine (( compare-distance  ) ) (( compare-distance  ) )  ) ) (( homophily-agricultural-productivity  ) )  ) )  ) ,3.7416573867739418,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-farms-near-best-performers  ) ) (( divide (( subtract (( compare-dryness  ) ) (( compare-quality  ) )  ) ) (( homophily-agricultural-productivity  ) )  ) )  ) ,4.242640687119285,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0,1.0,( get-max-one-of (( potential-family-farms  ) ) (( multiply (( combine (( compare-distance  ) ) (( compare-distance  ) )  ) ) (( homophily-agricultural-productivity  ) )  ) )  ) ,9.055385138137416,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
